in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
2.10E+02,1.230E+03,-7.918E+00,-6.209E+01,2.500E+00
2.11E+02,1.259E+03,-8.075E+00,-6.255E+01,2.500E+00
2.12E+02,1.288E+03,-8.237E+00,-6.300E+01,2.500E+00
2.13E+02,1.318E+03,-8.395E+00,-6.349E+01,2.500E+00
2.14E+02,1.349E+03,-8.550E+00,-6.397E+01,2.500E+00
2.15E+02,1.380E+03,-8.698E+00,-6.447E+01,2.500E+00
2.16E+02,1.413E+03,-8.848E+00,-6.493E+01,2.500E+00
2.17E+02,1.445E+03,-9.004E+00,-6.537E+01,2.500E+00
2.18E+02,1.479E+03,-9.170E+00,-6.582E+01,2.500E+00
2.19E+02,1.514E+03,-9.340E+00,-6.631E+01,2.500E+00
2.20E+02,1.549E+03,-9.508E+00,-6.680E+01,2.500E+00
2.21E+02,1.585E+03,-9.674E+00,-6.728E+01,2.500E+00
2.22E+02,1.622E+03,-9.837E+00,-6.768E+01,2.500E+00
2.23E+02,1.660E+03,-1.001E+01,-6.801E+01,2.500E+00
2.24E+02,1.698E+03,-1.018E+01,-6.839E+01,2.500E+00
2.25E+02,1.738E+03,-1.035E+01,-6.885E+01,2.500E+00
2.26E+02,1.778E+03,-1.051E+01,-6.933E+01,2.500E+00
2.27E+02,1.820E+03,-1.067E+01,-6.976E+01,2.500E+00
2.28E+02,1.862E+03,-1.085E+01,-7.011E+01,2.500E+00
2.29E+02,1.905E+03,-1.102E+01,-7.052E+01,2.500E+00
2.30E+02,1.950E+03,-1.121E+01,-7.095E+01,2.500E+00
2.31E+02,1.995E+03,-1.138E+01,-7.132E+01,2.500E+00
2.32E+02,2.042E+03,-1.155E+01,-7.165E+01,2.500E+00
2.33E+02,2.089E+03,-1.171E+01,-7.200E+01,2.500E+00
2.34E+02,2.138E+03,-1.189E+01,-7.234E+01,2.500E+00
2.35E+02,2.188E+03,-1.208E+01,-7.269E+01,2.500E+00
2.36E+02,2.239E+03,-1.226E+01,-7.307E+01,2.500E+00
2.37E+02,2.291E+03,-1.244E+01,-7.344E+01,2.500E+00
2.38E+02,2.344E+03,-1.263E+01,-7.382E+01,2.500E+00
2.39E+02,2.399E+03,-1.281E+01,-7.420E+01,2.500E+00
2.40E+02,2.455E+03,-1.299E+01,-7.452E+01,2.500E+00
2.41E+02,2.512E+03,-1.317E+01,-7.477E+01,2.500E+00
2.42E+02,2.570E+03,-1.336E+01,-7.499E+01,2.500E+00
2.43E+02,2.630E+03,-1.355E+01,-7.526E+01,2.500E+00
2.44E+02,2.692E+03,-1.373E+01,-7.559E+01,2.500E+00
2.45E+02,2.754E+03,-1.392E+01,-7.594E+01,2.500E+00
2.46E+02,2.818E+03,-1.410E+01,-7.631E+01,2.500E+00
2.47E+02,2.884E+03,-1.427E+01,-7.661E+01,2.500E+00
2.48E+02,2.951E+03,-1.446E+01,-7.684E+01,2.500E+00
2.49E+02,3.020E+03,-1.465E+01,-7.709E+01,2.500E+00
2.50E+02,3.090E+03,-1.485E+01,-7.740E+01,2.500E+00
2.51E+02,3.162E+03,-1.505E+01,-7.768E+01,2.500E+00
2.52E+02,3.236E+03,-1.523E+01,-7.793E+01,2.500E+00
2.53E+02,3.311E+03,-1.541E+01,-7.812E+01,2.500E+00
2.54E+02,3.388E+03,-1.560E+01,-7.832E+01,2.500E+00
2.55E+02,3.467E+03,-1.579E+01,-7.859E+01,2.500E+00
2.56E+02,3.548E+03,-1.599E+01,-7.889E+01,2.500E+00
2.57E+02,3.631E+03,-1.618E+01,-7.919E+01,2.500E+00
2.58E+02,3.715E+03,-1.636E+01,-7.942E+01,2.500E+00
2.59E+02,3.802E+03,-1.656E+01,-7.955E+01,2.500E+00
2.60E+02,3.890E+03,-1.677E+01,-7.975E+01,2.500E+00
2.61E+02,3.981E+03,-1.696E+01,-7.997E+01,2.500E+00
2.62E+02,4.074E+03,-1.714E+01,-8.022E+01,2.500E+00
2.63E+02,4.169E+03,-1.735E+01,-8.045E+01,2.500E+00
2.64E+02,4.266E+03,-1.752E+01,-8.058E+01,2.500E+00
2.65E+02,4.365E+03,-1.771E+01,-8.072E+01,2.500E+00
2.66E+02,4.467E+03,-1.791E+01,-8.093E+01,2.500E+00
2.67E+02,4.571E+03,-1.811E+01,-8.117E+01,2.500E+00
2.68E+02,4.677E+03,-1.830E+01,-8.140E+01,2.500E+00
2.69E+02,4.786E+03,-1.850E+01,-8.164E+01,2.500E+00
2.70E+02,4.898E+03,-1.869E+01,-8.182E+01,2.500E+00
2.71E+02,5.012E+03,-1.888E+01,-8.194E+01,2.500E+00
2.72E+02,5.129E+03,-1.907E+01,-8.203E+01,2.500E+00
2.73E+02,5.248E+03,-1.926E+01,-8.217E+01,2.500E+00
2.74E+02,5.370E+03,-1.946E+01,-8.236E+01,2.500E+00
2.75E+02,5.495E+03,-1.966E+01,-8.258E+01,2.500E+00
2.76E+02,5.623E+03,-1.987E+01,-8.279E+01,2.500E+00
2.77E+02,5.754E+03,-2.007E+01,-8.295E+01,2.500E+00
2.78E+02,5.888E+03,-2.025E+01,-8.303E+01,2.500E+00
2.79E+02,6.026E+03,-2.044E+01,-8.310E+01,2.500E+00
2.80E+02,6.166E+03,-2.064E+01,-8.325E+01,2.500E+00
2.81E+02,6.310E+03,-2.084E+01,-8.346E+01,2.500E+00
2.82E+02,6.457E+03,-2.105E+01,-8.366E+01,2.500E+00
2.83E+02,6.607E+03,-2.125E+01,-8.379E+01,2.500E+00
2.84E+02,6.761E+03,-2.144E+01,-8.383E+01,2.500E+00
2.85E+02,6.918E+03,-2.163E+01,-8.390E+01,2.500E+00
2.86E+02,7.079E+03,-2.183E+01,-8.408E+01,2.500E+00
2.87E+02,7.244E+03,-2.204E+01,-8.427E+01,2.500E+00
2.88E+02,7.413E+03,-2.224E+01,-8.443E+01,2.500E+00
2.89E+02,7.586E+03,-2.243E+01,-8.446E+01,2.500E+00
2.90E+02,7.762E+03,-2.261E+01,-8.449E+01,2.500E+00
2.91E+02,7.943E+03,-2.281E+01,-8.465E+01,2.500E+00
2.92E+02,8.128E+03,-2.301E+01,-8.483E+01,2.500E+00
