t,in,2,3
-9.796800E-05,2.017348E+00,1.9418225E+00,1.1761862E+00
-9.795200E-05,2.006644E+00,1.9369397E+00,1.1761862E+00
-9.793600E-05,2.012786E+00,1.9476208E+00,1.1800772E+00
-9.792000E-05,2.021209E+00,1.9399915E+00,1.1783987E+00
-9.790400E-05,2.015593E+00,1.9378552E+00,1.1788565E+00
-9.788800E-05,2.012259E+00,1.9293103E+00,1.1800772E+00
-9.787200E-05,2.011733E+00,1.9302258E+00,1.1825186E+00
-9.785600E-05,2.016120E+00,1.9329724E+00,1.1774069E+00
-9.784000E-05,2.014540E+00,1.9457898E+00,1.1822897E+00
-9.782400E-05,2.014540E+00,1.9378552E+00,1.1776358E+00
-9.780800E-05,2.012786E+00,1.9439587E+00,1.1808401E+00
-9.779200E-05,2.013312E+00,1.9506726E+00,1.1759573E+00
-9.777600E-05,2.015067E+00,1.9622693E+00,1.1778647E+00
-9.776000E-05,2.012259E+00,1.9244275E+00,1.1774069E+00
-9.774400E-05,2.014540E+00,1.9506726E+00,1.1808401E+00
-9.772800E-05,2.009978E+00,1.9525037E+00,1.1778647E+00
-9.771200E-05,2.013312E+00,1.9329724E+00,1.1800772E+00
-9.769600E-05,2.011206E+00,1.9595227E+00,1.1751944E+00
-9.768000E-05,2.014014E+00,1.9418225E+00,1.1803061E+00
-9.766400E-05,2.012786E+00,1.9311414E+00,1.1768729E+00
-9.764800E-05,2.021209E+00,1.9457898E+00,1.1778647E+00
-9.763200E-05,2.013312E+00,1.9604382E+00,1.1790854E+00
-9.761600E-05,2.015593E+00,1.9586072E+00,1.1835104E+00
-9.760000E-05,2.011206E+00,1.9546399E+00,1.1764151E+00
-9.758400E-05,2.016120E+00,1.9595227E+00,1.1798483E+00
-9.756800E-05,2.018927E+00,1.9320569E+00,1.1790854E+00
-9.755200E-05,2.016120E+00,1.9329724E+00,1.1810690E+00
-9.753600E-05,2.015067E+00,1.9253430E+00,1.1788565E+00
-9.752000E-05,2.014540E+00,1.9476208E+00,1.1800772E+00
-9.750400E-05,2.023490E+00,1.9369397E+00,1.1778647E+00
-9.748800E-05,2.016822E+00,1.9595227E+00,1.1817557E+00
-9.747200E-05,2.013312E+00,1.9351086E+00,1.1793143E+00
